内容	解释
Ken was in hot water about forgetting his wedding anniversary.	肯忘了他的结婚纪念日，麻烦大了。
Peter told his boss that he wouldn't quit. He's in it for the long haul.	彼得告诉他的老板，他不会退出。他打算长期任职。
Jack tried to be kind to his boss when he quit his job because he didn't want to burn his bridges.	杰克在辞职时尽量友好地对待老板，因为他想留条后路。
Alan got the sack for repeatedly coming into work late.	艾伦因为工作屡次迟到而被解雇。
The fireman said that injuries were common in his line of work.	消防员说，受伤在他这行很常见。
The ball is in his court now. Let's wait for his decision.	现在是他掌握着主动，我们等着他的决定吧。
It took me a month to learn the ropes at my new job.	我花了一个月掌握我新工作的窍门。
The politician set the record straight about his experiences in the military.	这位政治家澄清了他在军队的经历。
The project was put on the back burner while the company focused on a more immediate problem.	公司专注于一个更眼前的问题，该项目就放在次要位置了。
Everyone agreed not to talk shop at the staff party.	大家都同意在员工聚会上不说工作上的事。
It's time we get the ball rolling on the new project.	我们是时候开始着手新项目了。
Jennifer took a position as an administrative assistant to get her foot in the door at the famous fashion company.	珍妮弗成为了一名行政助理，在进入著名时装公司中迈出了第一步。
Greg had to put his weekend plans on hold and go into the office on Saturday for a few hours.	格雷格不得不把他的周末计划搁置，在周六去了办公室几个小时。
If we want to finish this by Friday, then we've really got our work cut out for us.	如果我们要在星期五完成这个，那么我们的工作安排真的十分紧张。
Jim and his father don't see eye to eye on the issue of abortion.	吉姆和他的父亲在堕胎问题上持不同意见。
After some small talk, the interview began.	一些闲聊之后，面试开始了。
I really had to twist my sister's arm to get her to pick me up from the airport.	我费了好大的劲儿才说服我姐让她来机场接我。
It's already 6 pm. Let's call it a day.	已经下午6点了，我们收工吧。
Most of the employees were kept in the dark about the merger until the last minute.	对于公司的合并，大多数雇员直到最后一刻都被蒙在鼓里。
The boss told Janet to call the shots while he was away.	老板告诉珍妮特，他离开时，她来做主。
The company has been in the red since September.	九月以来，该公司一直亏损。
After her holiday, it took Kate a few hours to get back up to speed on the recent developments in her company.	她的假期结束后，凯特花了几个小时重新跟进她公司最近的发展状况。
Todd was headhunted by his company's main competitor.	托德被他公司的主要竞争对手挖走了。
The group members were all on the same wavelength, so they were able to finish their project quickly.	小组成员协调一致，所以他们能很快完成他们的项目。
Mike is a marketing genius. People often invite him to lunch or dinner so they can pick his brains.	迈克是一个营销天才。人们经常邀请他去吃午餐或晚餐，这样他们就可以请教他很多问题了。
As a rule of thumb, I don't eat food that smells bad.	按经验，我不吃闻起来不好的食物。
My father reads the fine print on every contract he signs.	我的父亲会细读他签的每一份合同的详细条款。
Jim found it hard to focus on his work with his boss breathing down his neck.	吉姆发现，他老板密切注意他时，他难以集中精力于他的工作。
Having children can be an obstacle for women who want to climb the corporate ladder.	对想要爬上职业阶梯的女性来说，要孩子可能会是一个障碍。
